,artist,artist_id,genres,track_id,popularity,image_url
0,Run River North,0INDB6Snts5NDbzh8jC3lk,indie poptimism,0VaOlp5rnOdvU664eQXq5d,56,https://i.scdn.co/image/ab6761610000e5eb9eb01e724498b5c6d3a8138d
1,Run River North,0INDB6Snts5NDbzh8jC3lk,modern alternative rock,0VaOlp5rnOdvU664eQXq5d,56,https://i.scdn.co/image/ab6761610000e5eb9eb01e724498b5c6d3a8138d
2,Run River North,0INDB6Snts5NDbzh8jC3lk,modern rock,0VaOlp5rnOdvU664eQXq5d,56,https://i.scdn.co/image/ab6761610000e5eb9eb01e724498b5c6d3a8138d
3,Run River North,0INDB6Snts5NDbzh8jC3lk,stomp and holler,0VaOlp5rnOdvU664eQXq5d,56,https://i.scdn.co/image/ab6761610000e5eb9eb01e724498b5c6d3a8138d
4,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,indie folk,6AYFKOPbmd12rUP5DalRwB,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
5,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,new americana,6AYFKOPbmd12rUP5DalRwB,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
6,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,portland indie,6AYFKOPbmd12rUP5DalRwB,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
7,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,stomp and holler,6AYFKOPbmd12rUP5DalRwB,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
8,Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,acoustic pop,4ngv7whSPSAwD8ZP3zMHsd,48,https://i.scdn.co/image/ab6761610000e5eb3f37e34b0e82ded3e68befa2
9,Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,folk-pop,4ngv7whSPSAwD8ZP3zMHsd,48,https://i.scdn.co/image/ab6761610000e5eb3f37e34b0e82ded3e68befa2
10,Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,indie folk,4ngv7whSPSAwD8ZP3zMHsd,48,https://i.scdn.co/image/ab6761610000e5eb3f37e34b0e82ded3e68befa2
11,Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,indiecoustica,4ngv7whSPSAwD8ZP3zMHsd,48,https://i.scdn.co/image/ab6761610000e5eb3f37e34b0e82ded3e68befa2
12,Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,new americana,4ngv7whSPSAwD8ZP3zMHsd,48,https://i.scdn.co/image/ab6761610000e5eb3f37e34b0e82ded3e68befa2
13,Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,stomp and holler,4ngv7whSPSAwD8ZP3zMHsd,48,https://i.scdn.co/image/ab6761610000e5eb3f37e34b0e82ded3e68befa2
14,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,british singer-songwriter,2amZYLlA7PTIaGBw6UTb8r,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
15,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,indie folk,2amZYLlA7PTIaGBw6UTb8r,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
16,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,indiecoustica,2amZYLlA7PTIaGBw6UTb8r,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
17,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,new americana,2amZYLlA7PTIaGBw6UTb8r,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
18,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,stomp and holler,2amZYLlA7PTIaGBw6UTb8r,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
19,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,australian indie folk,5E3jbxmonQ370P93Qdfy5Y,67,https://i.scdn.co/image/ab6761610000e5eb3e3fbe62051e5d7865fafd8c
20,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,boston folk,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
21,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,deep new americana,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
22,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,folk-pop,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
23,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,indie folk,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
24,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,indiecoustica,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
25,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,new americana,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
26,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,new england americana,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
27,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,stomp and holler,2BzYOfztRMaIVKTfYOGQgR,56,https://i.scdn.co/image/ab6761610000e5ebfc1514b7d7a11f0c325302e6
28,The Bayton Fields,7oXYHwNEXRTufgAtllIVCf,,3Uh6AwVRMECL8VmMmlO4YI,40,https://i.scdn.co/image/ab6761610000e5ebc5136dd98d7339a8f4317b76
29,Jim van der Zee,7CjnYXSrc2CkcgptzVsxDm,dutch pop,3Uh6AwVRMECL8VmMmlO4YI,31,https://i.scdn.co/image/ab6761610000e5eba44ba8a4a5be819650f39f9c
30,Jim van der Zee,7CjnYXSrc2CkcgptzVsxDm,dutch singer-songwriter,3Uh6AwVRMECL8VmMmlO4YI,31,https://i.scdn.co/image/ab6761610000e5eba44ba8a4a5be819650f39f9c
31,Langhorne Slim,099toTcKJoywTosZr2hHjy,anti-folk,7Jd362EXGUF2c2Zk2abVdq,55,https://i.scdn.co/image/ab6761610000e5eb85e0a88b19179e449f28353a
32,Langhorne Slim,099toTcKJoywTosZr2hHjy,deep new americana,7Jd362EXGUF2c2Zk2abVdq,55,https://i.scdn.co/image/ab6761610000e5eb85e0a88b19179e449f28353a
33,Langhorne Slim,099toTcKJoywTosZr2hHjy,indie folk,7Jd362EXGUF2c2Zk2abVdq,55,https://i.scdn.co/image/ab6761610000e5eb85e0a88b19179e449f28353a
34,Langhorne Slim,099toTcKJoywTosZr2hHjy,modern folk rock,7Jd362EXGUF2c2Zk2abVdq,55,https://i.scdn.co/image/ab6761610000e5eb85e0a88b19179e449f28353a
35,Langhorne Slim,099toTcKJoywTosZr2hHjy,new americana,7Jd362EXGUF2c2Zk2abVdq,55,https://i.scdn.co/image/ab6761610000e5eb85e0a88b19179e449f28353a
36,Langhorne Slim,099toTcKJoywTosZr2hHjy,stomp and holler,7Jd362EXGUF2c2Zk2abVdq,55,https://i.scdn.co/image/ab6761610000e5eb85e0a88b19179e449f28353a
37,Crooked Spines,0gflAQkqjOluWa2R9hXUAm,ohio indie,4Bekc318sVRVNqy2HoXON7,2,https://i.scdn.co/image/ab6761610000e5eba48a8b677effb8ffdda44ec0
38,Bahamas,4C50EbCS11M0VbGyH3OfLt,canadian indie,3e5eR2DBoHD2qR4HN3YmTv,64,https://i.scdn.co/image/ab6761610000e5eb155ae5b198382c81e570be01
39,Bahamas,4C50EbCS11M0VbGyH3OfLt,indie folk,3e5eR2DBoHD2qR4HN3YmTv,64,https://i.scdn.co/image/ab6761610000e5eb155ae5b198382c81e570be01
40,Bahamas,4C50EbCS11M0VbGyH3OfLt,indie pop,3e5eR2DBoHD2qR4HN3YmTv,64,https://i.scdn.co/image/ab6761610000e5eb155ae5b198382c81e570be01
41,Bahamas,4C50EbCS11M0VbGyH3OfLt,neo mellow,3e5eR2DBoHD2qR4HN3YmTv,64,https://i.scdn.co/image/ab6761610000e5eb155ae5b198382c81e570be01
42,Bahamas,4C50EbCS11M0VbGyH3OfLt,new americana,3e5eR2DBoHD2qR4HN3YmTv,64,https://i.scdn.co/image/ab6761610000e5eb155ae5b198382c81e570be01
43,Bahamas,4C50EbCS11M0VbGyH3OfLt,stomp and holler,3e5eR2DBoHD2qR4HN3YmTv,64,https://i.scdn.co/image/ab6761610000e5eb155ae5b198382c81e570be01
44,Laura Marling,7B2edU3Q7btJoNsoHCNohM,art pop,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
45,Laura Marling,7B2edU3Q7btJoNsoHCNohM,british folk,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
46,Laura Marling,7B2edU3Q7btJoNsoHCNohM,british singer-songwriter,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
47,Laura Marling,7B2edU3Q7btJoNsoHCNohM,chamber pop,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
48,Laura Marling,7B2edU3Q7btJoNsoHCNohM,indie folk,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
49,Laura Marling,7B2edU3Q7btJoNsoHCNohM,indie pop,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
50,Laura Marling,7B2edU3Q7btJoNsoHCNohM,singer-songwriter,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
51,Laura Marling,7B2edU3Q7btJoNsoHCNohM,stomp and holler,0up48KQvGzMCrgqrfT07i2,57,https://i.scdn.co/image/ab6761610000e5eb27b15f8b52128db1fdab4f30
