,track,id,playlist,artistName,msPlayed,image_url,ranking
71,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,JP,Ed Sheeran,1960171.0,//i.imgur.com/f7hntd5b.jpg,40.0
834,Toralla,4rhHAWgMR5UbQuvEQHs8qH,JP,Manu Llovo,5435011.0,//i.imgur.com/Obl4TbDb.jpg,56.0
878,Stick Season,0GNVXNz7Jkicfk2mp5OyG5,JP,Noah Kahan,7148024.0,//i.imgur.com/ZsUyTTOb.jpg,22.0
1111,Volveré a Empezar,2KDNePHNaahkf8okcATp51,JP,Stay Homas,7643817.0,//i.imgur.com/6PvRL5hb.jpg,6.0
1112,Qué Bien,3iaj0MtII6VPVhwQa4eeX3,JP,IZAL,12117560.0,//i.imgur.com/CoiUM1Wb.jpg,4.0
1124,Sixtinain,4LapKFie8D1oWuowtLLXUu,JP,Guitarricadelafuente,5870206.0,//i.imgur.com/yuNpz4vb.jpg,17.0
1129,Aquellos Años Locos (Bonus Track),2zQPi1daDcELSMkpDGwHsn,para cantar,El Canto Del Loco,2403255.0,//i.imgur.com/qMntJKjb.jpg,53.0
1145,Desaparece,11c4nID11cj01SsG86RpNR,para cantar,El Canto Del Loco,3635969.0,//i.imgur.com/saB4khPb.jpg,13.0
1146,Moguín,1BnIr9vXs7ftYBZcloaItN,para cantar,Jaguayano,9514515.0,//i.imgur.com/9w5tVvEb.jpg,36.0
1147,Vive,5ZkGqwsCIujcrccIU3K0ol,para cantar,Likindoy,5714861.0,//i.imgur.com/yrKiXUcb.jpg,44.0
1151,Es Por Ti,1rR8q4vfEyvMJDSv0dJDfr,para cantar,Club 28,4961901.0,//i.imgur.com/tbLWgEWb.jpg,33.0
1154,PRMVR,78CVgSm8s9pfpwCqvqzEYB,para cantar,La Maravillosa Orquesta del Alcohol,2553014.0,//i.imgur.com/phvO5WUb.jpg,26.0
1160,El Principio de algo,55oRR1s2W1xX2evrUCaOSb,para cantar,La La Love You,2772127.0,//i.imgur.com/m3kZUqQb.jpg,3.0
1161,Tu Primera Fila,7ioc8jD1x4NDgx6v49kGiN,para cantar,Comandante Twin,1190981.0,//i.imgur.com/qRi7A1hb.jpg,57.0
