,playlist,playlist_id
0,Heart Beats,37i9dQZF1DWSRc3WJklgBs
1,Indie Folk Chill,5tOffZXVBFTMS7mkKQ3tpX
2,This Is RIOPY,37i9dQZF1DZ06evO2FusBW
3,2022,5hJEgBdGwr6dWyf4lieSV9
4,Dance Music,3XWqyAXlCtPmnZUJKt5ACC
5,Sons Of The East Radio,37i9dQZF1E4vEir6itRijY
6,para cantar,0p8pKNSfrcQ2KlcGucdMqV
7,Chill-up,00X3SYeYrgAdtgrKt8QzsJ
8,Disney,0r1GPf5MZhwNk1PDBzTuXM
9,Life Is Wonderful,2AjwEGmjc0VEaf25Dbjb1M
10,Acoustic Chill,37i9dQZF1DWYGZAMYFDM8S
11,JP,3FInOSJaKv5QzLQrd3lCgA
12,Acoustic Pop Hits,7ztPGEDSTKz4afyj7IPgBv
13,Chillout 2023,7ozIozDp260fjNOZy1yzRG
14,OST,4MdI4iitwoDXP7odDScsfN
15,Gym,5nTltQ4wLYhQzVi9J86LLT
16,Discover Weekly,37i9dQZEVXcJeoEfpyxSVE
17,Chillin',35oLMiAK4VM2T0ek3PTPIc
18,House,5U2MYFAcQ3yT7XbHYgGPmb
