,artistName,msPlayed
617,Hans Zimmer,59971990
474,Eminem,57348232
1551,The Wild Project,55355534
1441,Sons Of The East,39694199
1691,Yuki Hayashi,37825633
1701,Ziggy Alberts,34324803
646,ILLENIUM,30807102
1225,Paula Mattheus,29637108
834,Kygo,28462062
1667,Woodlock,27581982
1151,Noah Kahan,25560758
1530,The Lowe Bros,24587620
1684,Yoly Saa,24429087
54,"All-In with Chamath, Jason, Sacks & Friedberg",23839161
601,Guitarricadelafuente,23753671
178,Bizarrap,23440390
1623,Veintiuno,22110945
935,Luis Fercán,21701325
648,IZAL,20495672
1605,Tu Otra Bonita,19994304
1092,Mumford & Sons,19024984
450,El Canto Del Loco,16867138
892,Lex Fridman Podcast,16689397
33,Ainoa Buitrago,16031758
1347,SRTW,15902701
661,Inazio,15708736
144,Bad Bunny,15519741
502,Felipe Baldomir,12972270
434,ERRE,12954820
694,Jaguayano,12776530
632,Hogland,12756008
1283,RIOPY,12717198
761,Jordy Maxwell,12543878
1035,Melendi,12449239
1449,Stay Homas,12359336
225,Business Breakdowns,12266178
915,Los Aslándticos,12235057
1485,Taburete,12019333
1280,RADWIMPS,12001131
641,Howard Shore,11996903
1288,Ramin Djawadi,11509636
445,Ehrling,11371743
951,MARLENA,11194726
1612,U2,11153302
857,La Maravillosa Orquesta del Alcohol,10782803
226,C. Tangana,10370894
1080,Morat,10227823
748,John Powell,10162535
1320,Roo Panes,10030956
110,Así empecé,10001900
