track,msPlayed,Unnamed: 0,id,playlist_id,duration_ms
A Way of Life,19292415,474.0,6DHYWelHYuynVVPv2m58wl,4MdI4iitwoDXP7odDScsfN,483707.0
Freeze,13644313,35.0,4X66U6SUjvZqiKYIpCWXnq,my liked songs,487359.0
Qué Bien,12117560,6.0,3iaj0MtII6VPVhwQa4eeX3,3FInOSJaKv5QzLQrd3lCgA,273893.0
Cinderella Man,11822731,525.0,4SE4yewyGpOYfxfx59Yjc5,5nTltQ4wLYhQzVi9J86LLT,279013.0
You’re The Best Thing About Me - U2 Vs. Kygo,11153302,82.0,4QWSk7Ynu34r3EOHSwp9nI,00X3SYeYrgAdtgrKt8QzsJ,256493.0
You’re The Best Thing About Me - U2 Vs. Kygo,11153302,27.0,4QWSk7Ynu34r3EOHSwp9nI,my liked songs,256493.0
Algo que ya (feat. Funambulista),11023367,217.0,0QUbM7Nhjzk0A4HodtUJwp,3FInOSJaKv5QzLQrd3lCgA,224725.0
Till I Collapse,10146994,521.0,4xkOaSrkexMciUUogZKVTS,5nTltQ4wLYhQzVi9J86LLT,297787.0
Moguín,9514515,42.0,1BnIr9vXs7ftYBZcloaItN,0p8pKNSfrcQ2KlcGucdMqV,198395.0
Katawaredoki,9488460,493.0,4WedBZTeFawYCBCgfj36iK,4MdI4iitwoDXP7odDScsfN,170027.0
A Small Measure of Peace,9382337,496.0,0k1zElVBehCAzAa975af71,4MdI4iitwoDXP7odDScsfN,479680.0
"The Breaking of the Fellowship (feat. ""In Dreams"")",9086238,482.0,1ykbtFnlIjmIFnZ8j6wg6i,4MdI4iitwoDXP7odDScsfN,440800.0
『欲』,9046432,506.0,69ImxLhTWjSRBl2nGspu9C,4MdI4iitwoDXP7odDScsfN,211000.0
POWER,8842167,532.0,2gZUPNdnz5Y45eiGxpHGSc,5nTltQ4wLYhQzVi9J86LLT,292093.0
La Hipoteca,8832816,37.0,2S8O4CEK1YZIf4e8dla0QM,3FInOSJaKv5QzLQrd3lCgA,218221.0
"Becoming one of ""The People"" Becoming one with Neytiri",8580843,486.0,1UBd7aWHZCz8yirI9KCvAU,4MdI4iitwoDXP7odDScsfN,463707.0
Noches Prohibidas,8528896,183.0,0J5Lqx3hDPF4GFYWGtJLZA,3FInOSJaKv5QzLQrd3lCgA,216819.0
Phenomenal,8316916,528.0,4e5lEqydMatcEio6ef9Dpf,5nTltQ4wLYhQzVi9J86LLT,282547.0
The Way of the Sword,8271573,495.0,7A1sEZUvLbbbRyOsCJ2vj2,4MdI4iitwoDXP7odDScsfN,479013.0
