track,id,playlist_id,mode,key,variable,value
Muñequita de Cristal,2bsJ6oij5bheOFx9RyuFKY,0p8pKNSfrcQ2KlcGucdMqV,1.0,7.0,danceability,0.747
Nudes,6jFDh9oyYVbHzQxtjzmYZY,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.606
Valientes de Sofá,7jfMSrCnMhdwqpFEV3woIu,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.615
Esquinas de Madrid,45qw140Yo81dJkqv4pgvla,0p8pKNSfrcQ2KlcGucdMqV,1.0,7.0,danceability,0.602
Flor de Primavera,2xEiwSjfMz3onyI2qIO3iB,0p8pKNSfrcQ2KlcGucdMqV,1.0,11.0,danceability,0.618
Volveré a Empezar,2KDNePHNaahkf8okcATp51,3FInOSJaKv5QzLQrd3lCgA,1.0,5.0,danceability,0.776
Qué Bien,3iaj0MtII6VPVhwQa4eeX3,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.632
El Fin del Mundo,5SeYlZyKVENMOxiSPQkKyw,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.6
La Madre de Jose,3l8Ennt1PqShViwh0tkWuc,0p8pKNSfrcQ2KlcGucdMqV,1.0,1.0,danceability,0.629
Princesas,3hlWUNjAlbZ6nOjAbrivBv,0p8pKNSfrcQ2KlcGucdMqV,1.0,7.0,danceability,0.683
"Marta, Sebas, Guille y los demás",30ddpolNHwXlrS5XO8MiiO,0p8pKNSfrcQ2KlcGucdMqV,1.0,2.0,danceability,0.598
Cómo Te Atreves,7M6CFruBrM5x7u0lTMtm6r,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.617
Paseo,6pWeJvzpQR1ihiUSJklOzD,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.726
Caminando por la vida,3v1dCP3hk2djfWryqfp7sx,0p8pKNSfrcQ2KlcGucdMqV,1.0,5.0,danceability,0.695
Those Little Things - BSO Estrella Damm 2016,6HLIHF8UeB8PTlN3fGxwgE,3FInOSJaKv5QzLQrd3lCgA,1.0,8.0,danceability,0.457
Sirenas,4unOsvr9C2NqI9aJXrxpCy,0p8pKNSfrcQ2KlcGucdMqV,1.0,5.0,danceability,0.686
Amos del Piano Bar,1iaEMe2DMl2IrSYtPa1Dht,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.459
El Rey del Contrabando,1hUVzcXPRKihxxDlLe4gW4,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.703
Maldita Costumbre,5cWIowEZxB2FkZ1Hzqpwjl,0p8pKNSfrcQ2KlcGucdMqV,0.0,11.0,danceability,0.826
Sixtinain,4LapKFie8D1oWuowtLLXUu,3FInOSJaKv5QzLQrd3lCgA,0.0,9.0,danceability,0.325
Mi lugar,4sE9RVyVKXCN8axRureOq4,0p8pKNSfrcQ2KlcGucdMqV,1.0,7.0,danceability,0.563
Indios y Vaqueros,3u5GmyJP2MU3tEJgyiAG2T,0p8pKNSfrcQ2KlcGucdMqV,1.0,8.0,danceability,0.606
Cien gaviotas,020Gj87SqDRvzGHELzcCEc,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.593
La Rumba del Tartamudo,5wo7dZljQgIJLY26vKKNQI,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.746
Aquellos Años Locos (Bonus Track),2zQPi1daDcELSMkpDGwHsn,0p8pKNSfrcQ2KlcGucdMqV,1.0,3.0,danceability,0.636
Volver a Disfrutar,3PuXuPcU0W4iHnd3C78FIr,0p8pKNSfrcQ2KlcGucdMqV,1.0,1.0,danceability,0.344
Popera,6taZHPxPwrcmqQjYnqtaft,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.762
Nada Fue Un Error,5QhOF5HXgZ0OFUZSE5kEv1,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.622
Sé lo que hicisteis - 2006 Remastered Version,15BdyloOmohWRWcnO4QILo,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.676
Donde Me Lleven Mis Alas,3oE5p8VSiJRrVce8dUlEcC,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.685
Hablando en plata - 2003 Remastered Version,7gHXpZ9RfD5ym9GZWlo35F,0p8pKNSfrcQ2KlcGucdMqV,1.0,7.0,danceability,0.586
Asturias - 2006 Remastered Version,49NjyMF2NnxNktEmi2Xge3,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.726
Cálmalo,0DjXsFNuQBH3rVPSYSQ81c,3FInOSJaKv5QzLQrd3lCgA,0.0,3.0,danceability,0.575
Todo Me Da Igual,4BBC0JXqqZbQH5rQwjiUkp,0p8pKNSfrcQ2KlcGucdMqV,1.0,6.0,danceability,0.426
Sube a mi cohete,13pDWLl5cW56bzuJ6iEBta,0p8pKNSfrcQ2KlcGucdMqV,1.0,8.0,danceability,0.391
Estoy enfermo (con Melendi),3H4gp39BIC4t3guLhjJBZr,0p8pKNSfrcQ2KlcGucdMqV,1.0,11.0,danceability,0.569
Equilibrista,4UV5daGmBU5KjWOn40y0kD,0p8pKNSfrcQ2KlcGucdMqV,0.0,1.0,danceability,0.569
La Hipoteca,2S8O4CEK1YZIf4e8dla0QM,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.808
Feo Fuerte y Formal,24w139jhWNnuQjnlhlzLvi,0p8pKNSfrcQ2KlcGucdMqV,0.0,5.0,danceability,0.716
Zapatillas,42VgiRyg0YjtRVLiPFNxPJ,0p8pKNSfrcQ2KlcGucdMqV,0.0,8.0,danceability,0.428
Desaparece,11c4nID11cj01SsG86RpNR,0p8pKNSfrcQ2KlcGucdMqV,0.0,8.0,danceability,0.527
La Ruina,1oHV3UmdLxZHY4BTy0ni7x,0p8pKNSfrcQ2KlcGucdMqV,1.0,3.0,danceability,0.497
Moguín,1BnIr9vXs7ftYBZcloaItN,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.778
Vive,5ZkGqwsCIujcrccIU3K0ol,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.73
Casa Puebla,65Rn5sqpEBVnT6ms0rnEAY,0p8pKNSfrcQ2KlcGucdMqV,1.0,2.0,danceability,0.434
Los Tontos,4DoEHKWh8k6vYDleECQkJx,0p8pKNSfrcQ2KlcGucdMqV,0.0,9.0,danceability,0.798
Gitana,7JHsmp8rSkIHI6uFFQiukR,0p8pKNSfrcQ2KlcGucdMqV,0.0,1.0,danceability,0.71
Es Por Ti,1rR8q4vfEyvMJDSv0dJDfr,0p8pKNSfrcQ2KlcGucdMqV,1.0,1.0,danceability,0.743
Estoy aquí,2VQ36fHtQwEjId0Z4K8ovU,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.666
Besos,7MKO7rUZzjw8p87zdZDgqa,0p8pKNSfrcQ2KlcGucdMqV,1.0,10.0,danceability,0.576
PRMVR,78CVgSm8s9pfpwCqvqzEYB,0p8pKNSfrcQ2KlcGucdMqV,1.0,10.0,danceability,0.585
Eco,5hsul6oJHjJ7wbV9lky88A,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.594
Recuerdos,4Ep0uJDe3ZkA7IH17LBfvz,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.784
Juramento eterno de sal,0tu5F0rmLZYIdUMEvfRXAo,0p8pKNSfrcQ2KlcGucdMqV,1.0,2.0,danceability,0.631
Volar,2Jc4A4kiyba4wkEIkjWxuQ,0p8pKNSfrcQ2KlcGucdMqV,0.0,6.0,danceability,0.584
Entre Tú Y Yo,1KIZwblKdC0v1ndP3CyLr4,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.827
El Principio de algo,55oRR1s2W1xX2evrUCaOSb,0p8pKNSfrcQ2KlcGucdMqV,1.0,6.0,danceability,0.621
