track,id,playlist_id,playlist,mode,key,variable,value
,4X66U6SUjvZqiKYIpCWXnq,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.363
,04BNQFaBlFF7WDeTb1V0AP,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.688
,7HGHhLbAklVxGkYdwyeVML,5U2MYFAcQ3yT7XbHYgGPmb,House,0.0,1.0,danceability,0.718
,2ZpL0ykp4gIyMxHam6vi6G,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.634
,793OuR8rJ0zpVp708ONAxO,37i9dQZF1DWSRc3WJklgBs,,1.0,10.0,danceability,0.651
,5zviMoAeuerK1Rd58qXASv,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.352
,2wPG888F5AMkxILKc9Pc3Q,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.675
,03P8OuXYbTy6dCWq007z1q,37i9dQZF1DWSRc3WJklgBs,,0.0,1.0,danceability,0.748
,1FXlxs2DGHGlDx5ggf00hn,37i9dQZF1DWSRc3WJklgBs,,0.0,0.0,danceability,0.72
,1D3ODoXHBLpdxolZRHWV1j,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,6.0,danceability,0.696
,3Ezg9PfTvr7ESXXLtHNuuT,35oLMiAK4VM2T0ek3PTPIc,Chillin',0.0,10.0,danceability,0.731
,21H0pUV2uPIPcFnFhgTBjo,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.643
,7r1tJrG00pgUbVioN1hbzf,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,5.0,danceability,0.759
,2XqUheri1UqUWzzMGIN2fW,37i9dQZF1DWSRc3WJklgBs,,0.0,0.0,danceability,0.697
,6EmRDtmAq556gtaj0rOjsW,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.591
,6bp0sJ0l3Ab3ZU0aktsYCf,35oLMiAK4VM2T0ek3PTPIc,Chillin',0.0,6.0,danceability,0.534
,4W1JavoraGzh83nluQHY6C,37i9dQZF1DWSRc3WJklgBs,,1.0,10.0,danceability,0.636
,5H8fYiRySoxCnsjVzV67HO,37i9dQZF1DWSRc3WJklgBs,,1.0,3.0,danceability,0.616
,0Zbbxnx4SGGHoIow4PpISP,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,5.0,danceability,0.677
