track,id,playlist_id,playlist,top-track,duration_ms,variable,value
Growing Up,0VaOlp5rnOdvU664eQXq5d,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,243960.0,danceability,0.64
3 Rounds and a Sound,6AYFKOPbmd12rUP5DalRwB,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,266960.0,danceability,0.381
The Worth Of The Wait,4ngv7whSPSAwD8ZP3zMHsd,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,171800.0,danceability,0.48
The Original,2amZYLlA7PTIaGBw6UTb8r,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,176080.0,danceability,0.581
Paper Aeroplane,5E3jbxmonQ370P93Qdfy5Y,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,225280.0,danceability,0.805
Only Lonely,2BzYOfztRMaIVKTfYOGQgR,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,217557.0,danceability,0.412
Tomorrow,3Uh6AwVRMECL8VmMmlO4YI,7ztPGEDSTKz4afyj7IPgBv,Acoustic Pop Hits,False,184842.0,danceability,0.484
House Of My Soul (You Light The Rooms),7Jd362EXGUF2c2Zk2abVdq,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,173280.0,danceability,0.548
Keep On,4Bekc318sVRVNqy2HoXON7,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,275396.0,danceability,0.526
Whole Wide World,3e5eR2DBoHD2qR4HN3YmTv,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,155240.0,danceability,0.729
Ghosts,0up48KQvGzMCrgqrfT07i2,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,179960.0,danceability,0.463
More Than I,4vNAb0jT8gpEXrf39HSTOz,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,270573.0,danceability,0.248
Northern Lights,3o2tw8emnaXFAIKBYdKW5T,5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,False,174000.0,danceability,0.69
By My Side,50AtbZbvd3OXD2NDqy4G29,35oLMiAK4VM2T0ek3PTPIc,Chillin',False,155217.0,danceability,0.559
